School Expenditure per Student,Teacher-Student Ratio,Test Score Percentile,Highschool Dropout Rate,Mean Parent Income,Teenage Pregnancy Rate
4.738,17.1,-1.747,0.002,45700,0.251
4.738,17.1,-1.747,0.002,50800,0.203
4.696,17.1,0.329,0.003,49700,0.261
4.696,17.1,0.329,0.003,69900,0.188
4.696,17.1,0.329,0.003,57100,0.208
4.696,17.1,0.329,0.003,45200,0.196
4.696,17.1,0.329,0.003,44900,0.232
4.696,17.1,0.329,0.003,47900,0.177
4.875,17.1,6.815,0.021,50600,0.178
4.875,17.1,6.815,0.021,41100,0.203
4.875,17.1,6.815,0.021,41900,0.252
4.759,16.6,-11.371,0,56600,0.204
4.759,16.6,-11.371,0,37000,0.303
5.365,17.4,-9.092,0.007,53100,0.198
5.365,17.4,-9.092,0.007,75100,0.176
5.365,17.4,-9.092,0.007,66800,0.191
5.365,17.4,-9.092,0.007,65400,0.19
5.365,17.4,-9.092,0.007,48200,0.183
5.365,17.4,-9.092,0.007,78100,0.198
5.365,17.4,-9.092,0.007,74800,0.163
4.869,16.5,-2.179,0.004,53900,0.228
4.869,16.5,-2.179,0.004,43500,0.257
4.869,16.5,-2.179,0.004,73800,0.188
4.869,16.5,-2.179,0.004,42200,0.276
4.869,16.5,-2.179,0.004,44100,0.265
4.869,16.5,-2.179,0.004,44800,0.252
4.869,16.5,-2.179,0.004,50200,0.236
4.869,16.5,-2.179,0.004,44800,0.249
4.632,17.2,-14.367,0.024,48100,0.287
4.632,17.2,-14.367,0.024,48400,0.262
4.632,17.2,-14.367,0.024,34500,0.322
4.632,17.2,-14.367,0.024,35500,0.29
4.632,17.2,-14.367,0.024,38800,0.284
4.529,17.3,4.951,0.011,54300,0.195
4.529,17.3,4.951,0.011,50600,0.244
4.529,17.3,4.951,0.011,47600,0.233
4.529,17.3,4.951,0.011,68400,0.186
4.529,17.3,4.951,0.011,51100,0.251
4.706,15.2,2.757,-0.014,42100,0.188
4.706,15.2,2.757,-0.014,50500,0.204
4.706,15.2,2.757,-0.014,35600,0.183
4.706,15.2,2.757,-0.014,33100,0.225
4.706,15.2,2.757,-0.014,42500,0.22
4.942,15.9,5.831,0.001,57700,0.203
4.942,15.9,5.831,0.001,42700,0.2
4.942,15.9,5.831,0.001,42500,0.2
4.533,17.1,3.54,0.007,48900,0.239
4.533,17.1,3.54,0.007,55300,0.213
4.533,17.1,3.54,0.007,50000,0.269
5.48,14.2,4.345,-0.003,51000,0.241
5.48,14.2,4.345,-0.003,53600,0.252
5.48,14.2,4.345,-0.003,65500,0.22
5.48,14.2,4.345,-0.003,57900,0.283
5.48,14.2,4.345,-0.003,53300,0.223
5.48,14.2,4.345,-0.003,56300,0.213
5.48,14.2,4.345,-0.003,48800,0.231
5.48,14.2,4.345,-0.003,61900,0.245
4.637,15.9,-12.888,0.029,46300,0.297
4.637,15.9,-12.888,0.029,46300,0.244
4.637,15.9,-12.888,0.029,40700,0.318
4.887,15.6,-1.466,0,42300,0.26
4.887,15.6,-1.466,0,46600,0.212
4.887,15.6,-1.466,0,40800,0.253
4.887,15.6,-1.466,0,43500,0.257
4.887,15.6,-1.466,0,38200,0.232
5.495,23.3,-11.615,-0.02,76400,0.105
5.495,23.3,-11.615,-0.02,66400,0.092
5.495,23.3,-11.615,-0.02,99400,0.083
5.495,23.3,-11.615,-0.02,78700,0.082
5.495,23.3,-11.615,-0.02,113500,0.073
5.495,23.3,-11.615,-0.02,81500,0.125
5.495,23.3,-11.615,-0.02,74900,0.151
5.495,23.3,-11.615,-0.02,84500,0.107
5.495,23.3,-11.615,-0.02,97000,0.108
5.377,20.4,-9.264,0.002,58000,0.158
5.377,20.4,-9.264,0.002,59600,0.14
6.149,20.1,-8.53,-0.008,68100,0.151
6.149,20.1,-8.53,-0.008,56200,0.086
6.149,20.1,-8.53,-0.008,54900,0.126
6.149,20.1,-8.53,-0.008,62900,0.165
5.098,17.3,-8.531,0.005,60100,0.142
5.098,17.3,-8.531,0.005,79300,0.102
5.098,17.3,-8.531,0.005,61600,0.2
6.648,16.7,-7.301,-0.013,59400,0.149
6.648,16.7,-7.301,-0.013,60200,0.149
6.262,14.5,9.725,0.027,92500,0.095
8.616,12.8,10.627,-0.02,69600,0.117
6.835,16.7,5.869,0.001,67100,0.177
6.835,16.7,5.869,0.001,63100,0.196
6.835,16.7,5.869,0.001,47900,0.208
6.835,16.7,5.869,0.001,72400,0.193
6.835,16.7,5.869,0.001,62200,0.169
7.584,17.7,-3.338,0.006,104100,0.145
7.584,17.7,-3.338,0.006,76400,0.138
7.694,18.9,-6.882,-0.002,92700,0.208
7.694,18.9,-6.882,-0.002,106700,0.12
7.694,18.9,-6.882,-0.002,90400,0.137
7.694,18.9,-6.882,-0.002,102900,0.095
7.694,18.9,-6.882,-0.002,175400,0.06
7.694,18.9,-6.882,-0.002,76200,0.158
7.694,18.9,-6.882,-0.002,80100,0.155
7.694,18.9,-6.882,-0.002,134200,0.087
7.694,18.9,-6.882,-0.002,164700,0.052
7.694,18.9,-6.882,-0.002,111300,0.099
7.694,18.9,-6.882,-0.002,145100,0.065
7.694,18.9,-6.882,-0.002,101100,0.116
7.694,18.9,-6.882,-0.002,82900,0.108
7.694,18.9,-6.882,-0.002,71300,0.155
7.694,18.9,-6.882,-0.002,125600,0.13
7.694,18.9,-6.882,-0.002,142100,0.046
7.694,18.9,-6.882,-0.002,162600,0.044
7.694,18.9,-6.882,-0.002,96400,0.136
7.694,18.9,-6.882,-0.002,112400,0.111
5.897,18.2,-1.607,0.016,70000,0.147
5.897,18.2,-1.607,0.016,46100,0.263
5.897,18.2,-1.607,0.016,35200,0.273
5.897,18.2,-1.607,0.016,41600,0.226
5.897,18.2,-1.607,0.016,39100,0.212
5.897,18.2,-1.607,0.016,44000,0.203
5.353,19.9,-0.763,0.032,53000,0.291
5.353,19.9,-0.763,0.032,69800,0.139
5.353,19.9,-0.763,0.032,68900,0.197
5.353,19.9,-0.763,0.032,66000,0.178
5.353,19.9,-0.763,0.032,92000,0.137
5.353,19.9,-0.763,0.032,64300,0.179
5.353,19.9,-0.763,0.032,56100,0.226
5.882,18.4,4.031,-0.024,57400,0.177
5.882,18.4,4.031,-0.024,40500,0.261
5.882,18.4,4.031,-0.024,45800,0.221
5.628,18,9.036,-0.015,67400,0.137
5.628,18,9.036,-0.015,89700,0.151
6.895,21.3,-6.999,0.006,86000,0.126
6.895,21.3,-6.999,0.006,72200,0.144
6.895,21.3,-6.999,0.006,78400,0.121
6.107,17.7,2.693,-0.008,44800,0.225
6.107,17.7,2.693,-0.008,36900,0.269
6.107,17.7,2.693,-0.008,40000,0.2
6.107,17.7,2.693,-0.008,46700,0.208
6.107,17.7,2.693,-0.008,44200,0.205
6.107,17.7,2.693,-0.008,78000,0.132
6.107,17.7,2.693,-0.008,47600,0.185
6.107,17.7,2.693,-0.008,41100,0.218
6.457,18.9,-1.082,0.004,67000,0.147
6.457,18.9,-1.082,0.004,45100,0.273
6.457,18.9,-1.082,0.004,74200,0.183
6.457,18.9,-1.082,0.004,94100,0.119
5.344,17.6,1.125,-0.003,51200,0.157
5.344,17.6,1.125,-0.003,53300,0.206
6.896,18.6,-4.293,0.023,91000,0.167
6.896,18.6,-4.293,0.023,76400,0.172
5.592,18.8,-5.551,-0.009,51300,0.228
5.592,18.8,-5.551,-0.009,40000,0.267
5.592,18.8,-5.551,-0.009,40800,0.222
5.592,18.8,-5.551,-0.009,43800,0.21
5.592,18.8,-5.551,-0.009,54000,0.233
5.409,19.2,5.39,-0.01,58700,0.196
5.409,19.2,5.39,-0.01,68800,0.15
5.409,19.2,5.39,-0.01,66000,0.153
5.409,19.2,5.39,-0.01,44100,0.212
5.831,17.6,0.434,-0.025,54500,0.155
5.831,17.6,0.434,-0.025,45100,0.245
5.831,17.6,0.434,-0.025,57900,0.152
6.852,19.4,-5.311,-0.008,50900,0.251
6.852,19.4,-5.311,-0.008,111400,0.122
6.852,19.4,-5.311,-0.008,50900,0.268
6.852,19.4,-5.311,-0.008,101400,0.132
6.852,19.4,-5.311,-0.008,57300,0.187
5.569,18.4,-7.088,0.025,47200,0.287
5.569,18.4,-7.088,0.025,52800,0.217
5.569,18.4,-7.088,0.025,57500,0.225
6.228,18.3,-2.514,-0.001,52500,0.144
6.228,18.3,-2.514,-0.001,73300,0.174
6.228,18.3,-2.514,-0.001,52700,0.16
6.228,18.3,-2.514,-0.001,74200,0.149
5.695,19.9,-2.66,0.004,60800,0.189
5.695,19.9,-2.66,0.004,67200,0.171
5.695,19.9,-2.66,0.004,51200,0.164
5.695,19.9,-2.66,0.004,87200,0.113
5.695,19.9,-2.66,0.004,42600,0.237
5.256,16.3,-1.667,0.027,51200,0.265
5.256,16.3,-1.667,0.027,49500,0.205
5.256,16.3,-1.667,0.027,50600,0.309
5.256,16.3,-1.667,0.027,38400,0.285
5.256,16.3,-1.667,0.027,40000,0.222
5.256,16.3,-1.667,0.027,57700,0.23
5.256,16.3,-1.667,0.027,41400,0.264
5.889,16,-2.098,0.047,38500,0.311
5.889,16,-2.098,0.047,50900,0.271
5.889,16,-2.098,0.047,47100,0.281
5.889,16,-2.098,0.047,54000,0.262
5.889,16,-2.098,0.047,49300,0.237
5.889,16,-2.098,0.047,48500,0.233
5.742,17.5,-4.581,0.046,60100,0.234
5.742,17.5,-4.581,0.046,68800,0.185
5.742,17.5,-4.581,0.046,39400,0.24
5.742,17.5,-4.581,0.046,38500,0.283
5.742,17.5,-4.581,0.046,50000,0.221
5.526,16.8,-6.814,0.013,57900,0.172
5.526,16.8,-6.814,0.013,37400,0.246
5.526,16.8,-6.814,0.013,54000,0.187
5.526,16.8,-6.814,0.013,51800,0.237
5.735,16.8,-7.318,0.022,56000,0.254
5.735,16.8,-7.318,0.022,60600,0.208
5.735,16.8,-7.318,0.022,83600,0.196
5.735,16.8,-7.318,0.022,59700,0.194
5.735,16.8,-7.318,0.022,57400,0.152
5.735,16.8,-7.318,0.022,53700,0.188
5.547,16.9,-6.911,0.048,62500,0.192
5.547,16.9,-6.911,0.048,78900,0.174
5.547,16.9,-6.911,0.048,55500,0.212
5.547,16.9,-6.911,0.048,90700,0.09
5.547,16.9,-6.911,0.048,51200,0.211
5.475,15.6,-4.932,0.049,53200,0.268
5.475,15.6,-4.932,0.049,46900,0.275
5.177,16.5,-3.559,0.041,49400,0.195
5.177,16.5,-3.559,0.041,38800,0.299
5.177,16.5,-3.559,0.041,51900,0.262
5.177,16.5,-3.559,0.041,44800,0.218
5.177,16.5,-3.559,0.041,63900,0.214
5.177,16.5,-3.559,0.041,53800,0.227
5.177,16.5,-3.559,0.041,36200,0.241
5.704,17.3,-6.074,0.048,72400,0.213
5.704,17.3,-6.074,0.048,51900,0.205
5.704,17.3,-6.074,0.048,75300,0.155
5.704,17.3,-6.074,0.048,63000,0.177
5.704,17.3,-6.074,0.048,61800,0.207
5.704,17.3,-6.074,0.048,55300,0.224
5.704,17.3,-6.074,0.048,50400,0.201
5.704,17.3,-6.074,0.048,42200,0.232
5.704,17.3,-6.074,0.048,44300,0.268
5.777,16.4,-8.216,0.054,47500,0.283
5.777,16.4,-8.216,0.054,73900,0.217
5.777,16.4,-8.216,0.054,38000,0.33
5.81,16.6,-9.082,0.038,76700,0.193
5.81,16.6,-9.082,0.038,70500,0.221
5.81,16.6,-9.082,0.038,67300,0.193
5.81,16.6,-9.082,0.038,80700,0.202
5.81,16.6,-9.082,0.038,44500,0.281
5.27,16.2,-0.486,0.03,58000,0.179
5.27,16.2,-0.486,0.03,48100,0.27
5.27,16.2,-0.486,0.03,39900,0.245
5.27,16.2,-0.486,0.03,43200,0.249
5.27,16.2,-0.486,0.03,46100,0.231
5.214,18.2,-6.018,0.011,47400,0.269
5.214,18.2,-6.018,0.011,88700,0.129
5.214,18.2,-6.018,0.011,40700,0.242
5.214,18.2,-6.018,0.011,56600,0.248
5.214,18.2,-6.018,0.011,65900,0.195
5.214,18.2,-6.018,0.011,33900,0.25
5.214,18.2,-6.018,0.011,73200,0.186
5.214,18.2,-6.018,0.011,50600,0.224
4.83,17.6,-6.834,0.089,53900,0.244
4.83,17.6,-6.834,0.089,50300,0.207
4.83,17.6,-6.834,0.089,74600,0.201
4.83,17.6,-6.834,0.089,55700,0.258
4.83,17.6,-6.834,0.089,50500,0.237
4.825,18.1,-7.888,0.026,71100,0.191
4.825,18.1,-7.888,0.026,54900,0.191
4.825,18.1,-7.888,0.026,57900,0.22
4.825,18.1,-7.888,0.026,40200,0.233
4.825,18.1,-7.888,0.026,84400,0.178
4.825,18.1,-7.888,0.026,51400,0.22
4.825,18.1,-7.888,0.026,45600,0.25
6.352,18.1,-7.863,0.026,96500,0.13
6.352,18.1,-7.863,0.026,65000,0.189
6.352,18.1,-7.863,0.026,123500,0.101
6.352,18.1,-7.863,0.026,81000,0.181
6.352,18.1,-7.863,0.026,81700,0.17
6.352,18.1,-7.863,0.026,75500,0.148
6.352,18.1,-7.863,0.026,135700,0.058
6.352,18.1,-7.863,0.026,101800,0.124
6.352,18.1,-7.863,0.026,115800,0.207
