School Expenditure per Student,Teacher-Student Ratio,Test Score Percentile,Highschool Dropout Rate,Mean Parent Income,Teenage Pregnancy Rate
5.634,15.4,1.478,-0.008,72400,0.135
5.634,15.4,1.478,-0.008,70600,0.126
5.634,15.4,1.478,-0.008,54400,0.144
5.271,17.1,0.599,-0.001,75800,0.113
5.271,17.1,0.599,-0.001,68900,0.115
5.271,17.1,0.599,-0.001,81700,0.17
5.271,17.1,0.599,-0.001,74000,0.126
5.271,17.1,0.599,-0.001,95300,0.146
4.785,18.7,3.27,0.002,67700,0.142
4.785,18.7,3.27,0.002,74600,0.173
5.516,15.8,3.928,-0.013,73000,0.103
5.516,15.8,3.928,-0.013,59600,0.118
5.516,15.8,3.928,-0.013,64700,0.085
5.516,15.8,3.928,-0.013,67600,0.079
5.516,15.8,3.928,-0.013,90800,0.092
5.712,16.7,4.262,0.035,57200,0.188
5.712,16.7,4.262,0.035,70300,0.146
5.039,17.6,1.106,-0.006,64700,0.203
5.039,17.6,1.106,-0.006,63200,0.156
5.039,17.6,1.106,-0.006,91400,0.163
5.039,17.6,1.106,-0.006,75300,0.164
6.356,17.2,-5.332,0.004,95100,0.076
6.356,17.2,-5.332,0.004,76700,0.196
6.356,17.2,-5.332,0.004,50300,0.184
6.356,17.2,-5.332,0.004,79100,0.131
6.356,17.2,-5.332,0.004,66300,0.146
6.356,17.2,-5.332,0.004,73500,0.138
6.356,17.2,-5.332,0.004,69000,0.15
6.356,17.2,-5.332,0.004,100800,0.097
6.356,17.2,-5.332,0.004,131800,0.113
6.356,17.2,-5.332,0.004,72900,0.144
6.356,17.2,-5.332,0.004,47400,0.271
6.3,18.1,0.095,0.021,69100,0.21
6.3,18.1,0.095,0.021,63000,0.128
6.3,18.1,0.095,0.021,70600,0.127
6.3,18.1,0.095,0.021,71900,0.167
6.3,18.1,0.095,0.021,65800,0.177
6.3,18.1,0.095,0.021,95000,0.129
6.3,18.1,0.095,0.021,66600,0.16
6.535,18.1,0.957,0.014,65700,0.149
6.535,18.1,0.957,0.014,92400,0.088
6.535,18.1,0.957,0.014,71400,0.151
6.535,18.1,0.957,0.014,69100,0.162
6.535,18.1,0.957,0.014,61000,0.162
6.535,18.1,0.957,0.014,82900,0.131
6.535,18.1,0.957,0.014,69400,0.168
6.535,18.1,0.957,0.014,96400,0.172
6.535,18.1,0.957,0.014,95200,0.118
5.998,17.9,-6.336,0.02,70900,0.173
5.998,17.9,-6.336,0.02,53900,0.19
5.998,17.9,-6.336,0.02,87000,0.139
5.998,17.9,-6.336,0.02,69100,0.142
5.998,17.9,-6.336,0.02,59300,0.195
5.998,17.9,-6.336,0.02,71100,0.167
5.998,17.9,-6.336,0.02,57600,0.196
5.998,17.9,-6.336,0.02,92200,0.177
5.998,17.9,-6.336,0.02,123600,0.092
5.998,17.9,-6.336,0.02,78000,0.177
5.998,17.9,-6.336,0.02,61400,0.145
6.341,17.3,-0.717,0.008,63800,0.179
6.341,17.3,-0.717,0.008,49800,0.223
6.341,17.3,-0.717,0.008,48900,0.182
6.405,15.9,1.707,-0.006,67100,0.097
6.405,15.9,1.707,-0.006,74700,0.116
6.405,15.9,1.707,-0.006,87900,0.096
6.405,15.9,1.707,-0.006,63500,0.115
6.405,15.9,1.707,-0.006,75900,0.107
6.405,15.9,1.707,-0.006,108700,0.131
6.405,15.9,1.707,-0.006,104400,0.052
6.405,15.9,1.707,-0.006,85300,0.102
5.934,14.3,2.605,-0.031,58900,0.105
5.934,14.3,2.605,-0.031,62200,0.108
5.934,14.3,2.605,-0.031,68800,0.128
5.934,14.3,2.605,-0.031,52900,0.115
6.671,13.2,4.502,-0.015,55800,0.139
6.671,13.2,4.502,-0.015,61100,0.1
6.671,13.2,4.502,-0.015,47400,0.175
6.166,14.5,9.915,-0.032,60500,0.125
6.166,14.5,9.915,-0.032,63400,0.126
6.166,14.5,9.915,-0.032,69700,0.073
5.973,16.8,3.361,-0.021,73000,0.086
5.973,16.8,3.361,-0.021,89000,0.078
5.973,16.8,3.361,-0.021,63400,0.093
5.973,16.8,3.361,-0.021,101100,0.099
6.214,17.2,1.667,-0.011,85800,0.135
6.214,17.2,1.667,-0.011,84600,0.077
6.214,17.2,1.667,-0.011,72100,0.101
6.214,17.2,1.667,-0.011,63600,0.061
6.214,17.2,1.667,-0.011,60800,0.097
6.214,17.2,1.667,-0.011,71800,0.081
6.03,13.6,4.72,-0.033,73500,0.095
6.03,13.6,4.72,-0.033,66100,0.1
6.03,13.6,4.72,-0.033,68200,0.104
6.03,13.6,4.72,-0.033,62200,0.104
6.203,14.2,4.168,-0.022,62400,0.071
6.203,14.2,4.168,-0.022,67300,0.09
6.203,14.2,4.168,-0.022,67800,0.082
6.203,14.2,4.168,-0.022,61000,0.082
6.203,14.2,4.168,-0.022,83200,0.147
6.203,14.2,4.168,-0.022,61600,0.149
6.048,14.1,6.525,-0.027,70800,0.067
6.048,14.1,6.525,-0.027,60200,0.114
6.048,14.1,6.525,-0.027,60800,0.113
5.944,16.5,2.004,0,69600,0.09
5.944,16.5,2.004,0,122100,0.067
5.944,16.5,2.004,0,67000,0.164
5.944,16.5,2.004,0,78500,0.166
5.944,16.5,2.004,0,64500,0.084
5.795,14.2,5.24,-0.026,80500,0.104
5.795,14.2,5.24,-0.026,61100,0.116
5.795,14.2,5.24,-0.026,68200,0.081
5.795,14.2,5.24,-0.026,63200,0.115
5.926,14.8,10.219,-0.025,73400,0.084
5.926,14.8,10.219,-0.025,69100,0.093
5.926,14.8,10.219,-0.025,57700,0.091
5.926,14.8,10.219,-0.025,65500,0.103
5.926,14.8,10.219,-0.025,74300,0.057
6.49,13.4,4.511,-0.018,59500,0.164
6.49,13.4,4.511,-0.018,47900,0.178
6.49,13.4,4.511,-0.018,68800,0.122
6.271,14.6,9.503,-0.033,81300,0.084
6.271,14.6,9.503,-0.033,88700,0.085
6.271,14.6,9.503,-0.033,63100,0.073
6.271,14.6,9.503,-0.033,67000,0.079
6.098,15.4,5.201,-0.006,74400,0.125
6.098,15.4,5.201,-0.006,64200,0.087
6.09,15.6,3.07,-0.01,57400,0.109
6.09,15.6,3.07,-0.01,111200,0.085
6.09,15.6,3.07,-0.01,60000,0.123
6.09,15.6,3.07,-0.01,65400,0.11
6.09,15.6,3.07,-0.01,79700,0.101
6.09,15.6,3.07,-0.01,56600,0.125
6.09,15.6,3.07,-0.01,54600,0.116
6.09,15.6,3.07,-0.01,67800,0.167
7.665,15.3,9.026,-0.013,59700,0.11
7.665,15.3,9.026,-0.013,60900,0.077
7.665,15.3,9.026,-0.013,71200,0.108
5.982,14.5,3.677,-0.028,73700,0.143
5.982,14.5,3.677,-0.028,64500,0.107
6.173,16.6,-0.627,0.012,64900,0.108
6.173,16.6,-0.627,0.012,109500,0.112
6.173,16.6,-0.627,0.012,74200,0.145
6.173,16.6,-0.627,0.012,79500,0.122
6.173,16.6,-0.627,0.012,78700,0.091
6.173,16.6,-0.627,0.012,118600,0.132
6.173,16.6,-0.627,0.012,89600,0.104
6.173,16.6,-0.627,0.012,71400,0.089
6.173,16.6,-0.627,0.012,85400,0.072
6.155,15.4,-1.602,-0.015,85300,0.133
6.155,15.4,-1.602,-0.015,77200,0.154
6.155,15.4,-1.602,-0.015,77900,0.116
6.155,15.4,-1.602,-0.015,66900,0.14
6.003,14.9,10.514,-0.031,61200,0.087
6.003,14.9,10.514,-0.031,65200,0.113
6.003,14.9,10.514,-0.031,86700,0.067
5.613,15.9,-0.747,0.003,63100,0.14
5.613,15.9,-0.747,0.003,73500,0.088
5.613,15.9,-0.747,0.003,84900,0.153
5.613,15.9,-0.747,0.003,67700,0.183
5.613,15.9,-0.747,0.003,64300,0.092
5.613,15.9,-0.747,0.003,67500,0.069
5.613,15.9,-0.747,0.003,100400,0.12
6.848,15.9,8.616,-0.018,59600,0.107
6.848,15.9,8.616,-0.018,61000,0.09
6.848,15.9,8.616,-0.018,62200,0.095
6.848,15.9,8.616,-0.018,61900,0.079
6.848,15.9,8.616,-0.018,69400,0.1
6.182,14.9,5.142,-0.017,58600,0.178
6.182,14.9,5.142,-0.017,57700,0.17
6.182,14.9,5.142,-0.017,65400,0.177
6.836,16,6.203,0,67800,0.176
6.836,16,6.203,0,78200,0.126
6.334,13.7,10.643,-0.027,55600,0.11
6.334,13.7,10.643,-0.027,76100,0.121
6.736,14.1,9.964,-0.009,64500,0.143
6.736,14.1,9.964,-0.009,61900,0.139
4.965,16.8,1.806,0.006,59800,0.187
4.965,16.8,1.806,0.006,58200,0.199
4.965,16.8,1.806,0.006,61900,0.154
4.965,16.8,1.806,0.006,69000,0.202
4.965,16.8,1.806,0.006,54700,0.208
4.965,16.8,1.806,0.006,46600,0.218
6.534,14.3,15.663,-0.025,56700,0.174
6.534,14.3,15.663,-0.025,70300,0.053
6.149,17.4,-2.99,0.01,85700,0.143
6.149,17.4,-2.99,0.01,61900,0.139
6.149,17.4,-2.99,0.01,68000,0.142
6.149,17.4,-2.99,0.01,94600,0.176
6.149,17.4,-2.99,0.01,77000,0.179
8.784,14.9,1.357,-0.023,70300,0.126
8.784,14.9,1.357,-0.023,69400,0.164
6.473,14.9,4.974,-0.017,69200,0.19
6.473,14.9,4.974,-0.017,66100,0.179
5.524,16.4,-4.287,-0.022,67800,0.208
5.524,16.4,-4.287,-0.022,67300,0.112
6.102,15.6,14.006,-0.023,63300,0.128
6.102,15.6,14.006,-0.023,65300,0.139
6.102,15.6,14.006,-0.023,53600,0.223
6.102,15.6,14.006,-0.023,68700,0.095
6.102,15.6,14.006,-0.023,68700,0.126
6.102,15.6,14.006,-0.023,81300,0.094
7.398,12.2,9.956,-0.034,66600,0.118
7.398,12.2,9.956,-0.034,57900,0.12
5.093,14.9,-0.567,-0.015,59100,0.161
5.093,14.9,-0.567,-0.015,94600,0.132
5.093,14.9,-0.567,-0.015,62300,0.205
5.093,14.9,-0.567,-0.015,59800,0.161
5.093,14.9,-0.567,-0.015,68000,0.141
5.093,14.9,-0.567,-0.015,47300,0.184
5.093,14.9,-0.567,-0.015,55200,0.16
6.66,16.4,4.064,-0.006,92100,0.102
6.66,16.4,4.064,-0.006,60600,0.124
6.66,16.4,4.064,-0.006,66900,0.125
6.66,16.4,4.064,-0.006,61400,0.16
6.66,16.4,4.064,-0.006,85900,0.161
6.66,16.4,4.064,-0.006,62900,0.122
6.468,13.1,17.463,-0.012,79200,0.09
6.468,13.1,17.463,-0.012,55900,0.153
6.078,14.6,9.217,-0.008,67300,0.129
6.078,14.6,9.217,-0.008,74100,0.167
6.078,14.6,9.217,-0.008,62200,0.143
6.504,16.5,-1.545,-0.004,70300,0.251
7.703,11.7,9.678,-0.025,67200,0.117
7.61,12,8.363,-0.017,59100,0.121
9.888,13.8,-3.071,-0.025,67700,0.255
9.888,13.8,-3.071,-0.025,76500,0.23
6.577,13.5,15.348,-0.034,69300,0.102
7.414,15.3,14.538,-0.022,77400,0.154
7.414,15.3,14.538,-0.022,74300,0.114
7.414,15.3,14.538,-0.022,64800,0.127
6.45,16.2,-0.787,0.004,159400,0.067
6.45,16.2,-0.787,0.004,58400,0.185
6.45,16.2,-0.787,0.004,76200,0.135
6.45,16.2,-0.787,0.004,58200,0.257
6.45,16.2,-0.787,0.004,57400,0.176
6.45,16.2,-0.787,0.004,79400,0.142
6.45,16.2,-0.787,0.004,91100,0.128
6.45,16.2,-0.787,0.004,76600,0.191
6.45,16.2,-0.787,0.004,64400,0.133
6.45,16.2,-0.787,0.004,64300,0.161
6.45,16.2,-0.787,0.004,108900,0.083
6.45,16.2,-0.787,0.004,68800,0.182
5.039,16.3,1.513,-0.007,58700,0.177
5.039,16.3,1.513,-0.007,58700,0.207
5.039,16.3,1.513,-0.007,60000,0.155
5.039,16.3,1.513,-0.007,54000,0.189
5.039,16.3,1.513,-0.007,51200,0.216
5.039,16.3,1.513,-0.007,83400,0.152
5.878,15.7,6.971,-0.021,60900,0.135
5.878,15.7,6.971,-0.021,79500,0.173
7.199,12.2,20.071,-0.028,70700,0.096
7.199,12.2,20.071,-0.028,55000,0.097
5.555,15.5,-8.461,0.023,69300,0.253
5.555,15.5,-8.461,0.023,63700,0.153
7.754,12.3,14.946,-0.023,60800,0.069
6.397,14.7,0.488,-0.016,62800,0.219
6.952,11.7,17.097,-0.024,55700,0.082
8.507,11.9,15.222,-0.03,57300,0.127
6.592,13.6,-2.205,-0.035,62300,0.177
5.746,15.5,0.819,0.006,43400,0.218
5.746,15.5,0.819,0.006,41100,0.183
5.746,15.5,0.819,0.006,46000,0.208
5.746,15.5,0.819,0.006,44800,0.178
5.746,15.5,0.819,0.006,54600,0.184
5.925,17.3,3.097,-0.008,53400,0.187
5.925,17.3,3.097,-0.008,43500,0.234
5.925,17.3,3.097,-0.008,58700,0.209
5.925,17.3,3.097,-0.008,60400,0.241
5.925,17.3,3.097,-0.008,77700,0.168
5.984,16.6,-3.656,0.015,72900,0.155
5.984,16.6,-3.656,0.015,66100,0.151
5.984,16.6,-3.656,0.015,66600,0.17
5.984,16.6,-3.656,0.015,101100,0.154
5.984,16.6,-3.656,0.015,72700,0.166
5.984,16.6,-3.656,0.015,63100,0.175
5.984,16.6,-3.656,0.015,79400,0.148
5.984,16.6,-3.656,0.015,45300,0.233
5.984,16.6,-3.656,0.015,51700,0.197
5.984,16.6,-3.656,0.015,44400,0.262
5.984,16.6,-3.656,0.015,81400,0.19
5.984,16.6,-3.656,0.015,90700,0.134
5.62,15.4,-1.207,-0.006,61700,0.176
5.62,15.4,-1.207,-0.006,42900,0.209
5.62,15.4,-1.207,-0.006,40300,0.193
5.62,15.4,-1.207,-0.006,57000,0.177
5.556,15.8,-6.92,0.014,43100,0.207
5.556,15.8,-6.92,0.014,61600,0.196
5.614,15.1,-9.315,-0.005,44900,0.179
5.614,15.1,-9.315,-0.005,45400,0.215
6.243,19.1,5.432,-0.015,102000,0.127
6.243,19.1,5.432,-0.015,85000,0.148
6.243,19.1,5.432,-0.015,60400,0.221
6.243,19.1,5.432,-0.015,96600,0.157
6.243,19.1,5.432,-0.015,60700,0.189
6.243,19.1,5.432,-0.015,46700,0.202
6.243,19.1,5.432,-0.015,54800,0.179
6.243,19.1,5.432,-0.015,88400,0.154
6.243,19.1,5.432,-0.015,84500,0.131
6.243,19.1,5.432,-0.015,103400,0.169
6.243,19.1,5.432,-0.015,94400,0.103
6.436,16.5,-2.126,0.001,83100,0.147
6.436,16.5,-2.126,0.001,48200,0.16
6.436,16.5,-2.126,0.001,64200,0.162
6.436,16.5,-2.126,0.001,55500,0.157
6.436,16.5,-2.126,0.001,52500,0.181
6.436,16.5,-2.126,0.001,74700,0.164
6.436,16.5,-2.126,0.001,52900,0.172
5.847,16,-3.142,0.009,69800,0.171
5.847,16,-3.142,0.009,54200,0.149
5.847,16,-3.142,0.009,47200,0.234
5.847,16,-3.142,0.009,61000,0.184
6.08,16.3,-3.84,-0.005,51800,0.178
6.08,16.3,-3.84,-0.005,47900,0.17
6.08,16.3,-3.84,-0.005,39600,0.219
6.08,16.3,-3.84,-0.005,72600,0.168
6.784,14.8,-5.552,0.03,45300,0.176
6.784,14.8,-5.552,0.03,42500,0.16
6.784,14.8,-5.552,0.03,36900,0.201
5.676,18,-1.755,-0.006,56600,0.177
5.676,18,-1.755,-0.006,49000,0.205
5.676,18,-1.755,-0.006,65700,0.175
5.676,18,-1.755,-0.006,57100,0.165
5.676,18,-1.755,-0.006,59300,0.173
6.026,16.7,9.696,-0.015,50700,0.226
6.026,16.7,9.696,-0.015,74900,0.169
6.026,16.7,9.696,-0.015,64900,0.201
6.026,16.7,9.696,-0.015,56500,0.205
6.026,16.7,9.696,-0.015,55800,0.204
6.026,16.7,9.696,-0.015,48400,0.215
5.944,17.2,-2.106,0.001,54800,0.181
5.944,17.2,-2.106,0.001,60600,0.22
5.944,17.2,-2.106,0.001,71600,0.192
5.944,17.2,-2.106,0.001,65100,0.192
5.944,17.2,-2.106,0.001,66200,0.179
5.944,17.2,-2.106,0.001,58900,0.203
6.148,15.8,2.752,-0.022,73000,0.143
5.298,17.3,-0.633,-0.004,58600,0.233
5.298,17.3,-0.633,-0.004,51600,0.196
5.298,17.3,-0.633,-0.004,57700,0.195
5.298,17.3,-0.633,-0.004,58900,0.246
5.298,17.3,-0.633,-0.004,63500,0.189
5.298,17.3,-0.633,-0.004,49700,0.163
6.015,16.7,-2.237,0.016,43400,0.184
6.015,16.7,-2.237,0.016,38700,0.258
6.015,16.7,-2.237,0.016,63800,0.182
6.015,16.7,-2.237,0.016,50300,0.208
5.814,16.6,-2.443,0.01,38300,0.257
5.814,16.6,-2.443,0.01,37200,0.216
5.814,16.6,-2.443,0.01,56600,0.192
5.814,16.6,-2.443,0.01,41300,0.196
5.814,16.6,-2.443,0.01,42800,0.211
5.932,15.9,-0.157,-0.003,41100,0.203
5.932,15.9,-0.157,-0.003,36900,0.191
5.932,15.9,-0.157,-0.003,64900,0.186
5.932,15.9,-0.157,-0.003,41000,0.218
6.46,15.4,-2.262,0.001,54700,0.157
6.46,15.4,-2.262,0.001,53700,0.175
6.46,15.4,-2.262,0.001,48200,0.13
6.46,15.4,-2.262,0.001,41500,0.209
6.46,15.4,-2.262,0.001,44200,0.161
6.46,15.4,-2.262,0.001,57600,0.156
6.46,15.4,-2.262,0.001,53000,0.17
5.136,14.9,3.748,-0.009,54000,0.195
5.136,14.9,3.748,-0.009,61400,0.179
5.136,14.9,3.748,-0.009,65400,0.216
5.136,14.9,3.748,-0.009,61500,0.183
6.442,15.2,-7.906,0.01,46000,0.195
6.442,15.2,-7.906,0.01,49700,0.154
6.442,15.2,-7.906,0.01,45600,0.143
6.442,15.2,-7.906,0.01,50600,0.161
6.442,15.2,-7.906,0.01,56100,0.141
6.317,18.2,-1.755,-0.002,51500,0.178
6.317,18.2,-1.755,-0.002,73100,0.156
6.317,18.2,-1.755,-0.002,58400,0.134
4.335,17,-6.928,0.031,50500,0.21
4.335,17,-6.928,0.031,51400,0.245
4.335,17,-6.928,0.031,66000,0.215
4.335,17,-6.928,0.031,89900,0.164
4.335,17,-6.928,0.031,53600,0.235
4.335,17,-6.928,0.031,51000,0.221
4.335,17,-6.928,0.031,60000,0.191
4.854,16.3,-1.394,0.014,48900,0.257
4.854,16.3,-1.394,0.014,59200,0.217
4.854,16.3,-1.394,0.014,72800,0.201
4.854,16.3,-1.394,0.014,70500,0.264
4.854,16.3,-1.394,0.014,57600,0.205
4.854,16.3,-1.394,0.014,51500,0.21
4.793,17.1,-11.033,0.041,71000,0.182
4.793,17.1,-11.033,0.041,81700,0.164
4.793,17.1,-11.033,0.041,55600,0.232
4.793,17.1,-11.033,0.041,53800,0.221
4.793,17.1,-11.033,0.041,62500,0.176
4.793,17.1,-11.033,0.041,58800,0.228
4.793,17.1,-11.033,0.041,39000,0.246
4.793,17.1,-11.033,0.041,52400,0.188
4.793,17.1,-11.033,0.041,61300,0.185
4.793,17.1,-11.033,0.041,66900,0.167
4.086,17,-11.857,0.038,53200,0.185
4.086,17,-11.857,0.038,66800,0.185
4.086,17,-11.857,0.038,57700,0.224
4.086,17,-11.857,0.038,70200,0.22
4.587,16.9,-6.213,0.042,48800,0.231
4.587,16.9,-6.213,0.042,48500,0.267
4.587,16.9,-6.213,0.042,61600,0.232
4.655,17.4,-12.555,0.049,43500,0.239
4.655,17.4,-12.555,0.049,70000,0.177
4.655,17.4,-12.555,0.049,64100,0.222
4.655,17.4,-12.555,0.049,47100,0.193
4.655,17.4,-12.555,0.049,46200,0.234
4.655,17.4,-12.555,0.049,47200,0.258
4.655,17.4,-12.555,0.049,46100,0.233
4.655,17.4,-12.555,0.049,48700,0.208
4.623,17,-6.315,0.046,51100,0.223
4.623,17,-6.315,0.046,39800,0.252
4.623,17,-6.315,0.046,44700,0.243
4.623,17,-6.315,0.046,64500,0.193
4.623,17,-6.315,0.046,44100,0.249
4.623,17,-6.315,0.046,57700,0.21
4.508,16.4,1.447,0.014,42200,0.268
4.508,16.4,1.447,0.014,55100,0.225
4.645,18.6,-19.332,0.012,42400,0.248
4.645,18.6,-19.332,0.012,36600,0.296
4.645,18.6,-19.332,0.012,58400,0.219
4.645,18.6,-19.332,0.012,42800,0.247
4.4,16.2,-5.451,0.055,33500,0.282
4.4,16.2,-5.451,0.055,40400,0.216
4.639,15.5,-4.971,0.02,55100,0.205
4.639,15.5,-4.971,0.02,67100,0.182
4.639,15.5,-4.971,0.02,50600,0.224
5.098,17.6,-10.714,0.053,76300,0.162
5.098,17.6,-10.714,0.053,57800,0.224
5.098,17.6,-10.714,0.053,65700,0.199
5.098,17.6,-10.714,0.053,62900,0.154
5.098,17.6,-10.714,0.053,77100,0.161
5.098,17.6,-10.714,0.053,60400,0.17
5.098,17.6,-10.714,0.053,62400,0.186
5.098,17.6,-10.714,0.053,93500,0.128
5.098,17.6,-10.714,0.053,45400,0.23
4.492,18.3,-18.28,0.03,38400,0.256
4.492,18.3,-18.28,0.03,35300,0.272
4.492,18.3,-18.28,0.03,35500,0.201
4.492,18.3,-18.28,0.03,63100,0.226
4.458,16,-9.206,0.027,50700,0.247
6.85,15.9,2.793,-0.009,66500,0.115
6.85,15.9,2.793,-0.009,109300,0.075
6.85,15.9,2.793,-0.009,61600,0.087
6.85,15.9,2.793,-0.009,71800,0.085
6.85,15.9,2.793,-0.009,63300,0.105
6.85,15.9,2.793,-0.009,56500,0.113
6.85,15.9,2.793,-0.009,70600,0.103
6.85,15.9,2.793,-0.009,55800,0.136
6.823,15.7,3.045,-0.027,57500,0.098
6.669,15.7,3.767,-0.007,66100,0.086
6.669,15.7,3.767,-0.007,70200,0.105
6.669,15.7,3.767,-0.007,67500,0.101
6.669,15.7,3.767,-0.007,54900,0.121
6.669,15.7,3.767,-0.007,55000,0.125
7.988,13.7,4.963,-0.009,49200,0.117
6.546,16.8,3.63,0.017,77700,0.085
6.546,16.8,3.63,0.017,82400,0.101
6.546,16.8,3.63,0.017,72600,0.07
6.546,16.8,3.63,0.017,114900,0.079
6.546,16.8,3.63,0.017,91600,0.083
6.546,16.8,3.63,0.017,109600,0.062
6.546,16.8,3.63,0.017,82800,0.097
6.553,16,-2.043,-0.006,73100,0.146
6.553,16,-2.043,-0.006,62200,0.13
6.553,16,-2.043,-0.006,52800,0.16
6.553,16,-2.043,-0.006,52000,0.15
6.553,16,-2.043,-0.006,54500,0.14
6.872,18,-2.44,0.017,105600,0.125
6.872,18,-2.44,0.017,110400,0.121
6.872,18,-2.44,0.017,97400,0.077
6.872,18,-2.44,0.017,97200,0.097
6.872,18,-2.44,0.017,151500,0.058
6.872,18,-2.44,0.017,58800,0.266
6.562,17.7,0.006,-0.001,58800,0.177
6.562,17.7,0.006,-0.001,55800,0.207
6.562,17.7,0.006,-0.001,79600,0.136
6.562,17.7,0.006,-0.001,93100,0.125
6.562,17.7,0.006,-0.001,100500,0.13
6.288,17.4,1.236,0.007,73800,0.158
6.288,17.4,1.236,0.007,75200,0.132
6.288,17.4,1.236,0.007,57300,0.121
6.288,17.4,1.236,0.007,64800,0.195
6.288,17.4,1.236,0.007,73100,0.144
6.288,17.4,1.236,0.007,55500,0.188
8.124,15.6,4.525,0.015,89100,0.095
8.124,15.6,4.525,0.015,75900,0.113
7.203,14.8,-2.206,0.008,84600,0.099
7.203,14.8,-2.206,0.008,121600,0.051
7.203,14.8,-2.206,0.008,116700,0.081
7.203,14.8,-2.206,0.008,98000,0.078
7.203,14.8,-2.206,0.008,78800,0.13
7.203,14.8,-2.206,0.008,99400,0.075
6.238,17.3,7.498,-0.033,79100,0.113
6.238,17.3,7.498,-0.033,59400,0.081
6.238,17.3,7.498,-0.033,65400,0.13
6.238,17.3,7.498,-0.033,69300,0.117
6.687,16.9,9.205,0.018,62000,0.108
6.687,16.9,9.205,0.018,52700,0.186
6.687,16.9,9.205,0.018,77200,0.111
6.687,16.9,9.205,0.018,72200,0.119
8.069,18.7,0.449,0.012,93400,0.089
8.069,18.7,0.449,0.012,122700,0.057
8.069,18.7,0.449,0.012,83900,0.094
8.069,18.7,0.449,0.012,121700,0.065
8.069,18.7,0.449,0.012,144200,0.087
8.069,18.7,0.449,0.012,75000,0.103
8.069,18.7,0.449,0.012,111500,0.107
8.069,18.7,0.449,0.012,111000,0.075
8.069,18.7,0.449,0.012,122200,0.055
8.069,18.7,0.449,0.012,88100,0.091
8.069,18.7,0.449,0.012,86600,0.07
8.069,18.7,0.449,0.012,101800,0.078
7.145,16.5,4.087,0.006,61700,0.11
7.145,16.5,4.087,0.006,65000,0.134
7.145,16.5,4.087,0.006,45800,0.156
7.145,16.5,4.087,0.006,65900,0.14
7.145,16.5,4.087,0.006,57100,0.176
6.503,18.1,6.546,-0.013,82900,0.082
6.503,18.1,6.546,-0.013,65100,0.113
6.503,18.1,6.546,-0.013,91500,0.088
6.503,18.1,6.546,-0.013,87400,0.073
6.052,15.6,11.685,-0.033,58100,0.093
6.052,15.6,11.685,-0.033,67800,0.123
6.464,17.3,6.834,-0.014,82700,0.081
6.464,17.3,6.834,-0.014,78400,0.079
6.464,17.3,6.834,-0.014,79400,0.094
6.464,17.3,6.834,-0.014,90900,0.067
6.464,17.3,6.834,-0.014,72600,0.146
6.838,17.7,7.505,0.004,72300,0.1
6.838,17.7,7.505,0.004,70300,0.107
6.838,17.7,7.505,0.004,77400,0.099
6.838,17.7,7.505,0.004,67700,0.136
7.863,16.5,5.464,-0.012,73400,0.085
7.863,16.5,5.464,-0.012,79300,0.109
7.863,16.5,5.464,-0.012,71900,0.071
7.863,16.5,5.464,-0.012,65600,0.101
7.863,16.5,5.464,-0.012,65500,0.111
6.269,17.2,6.018,-0.014,85200,0.091
6.269,17.2,6.018,-0.014,64000,0.092
6.269,17.2,6.018,-0.014,69200,0.1
6.269,17.2,6.018,-0.014,102500,0.063
6.269,17.2,6.018,-0.014,76000,0.101
6.66,18.3,7.357,-0.009,118600,0.108
6.66,18.3,7.357,-0.009,70400,0.079
6.66,18.3,7.357,-0.009,85900,0.088
6.66,18.3,7.357,-0.009,117200,0.073
6.66,18.3,7.357,-0.009,73400,0.077
6.713,16.9,15.814,-0.003,74400,0.079
6.713,16.9,15.814,-0.003,61600,0.044
6.713,16.9,15.814,-0.003,68900,0.096
6.713,16.9,15.814,-0.003,72100,0.076
6.713,16.9,15.814,-0.003,83500,0.052
6.479,18,3.989,0.012,66000,0.132
6.479,18,3.989,0.012,72500,0.109
7.258,15.2,3.665,-0.026,83600,0.045
7.258,15.2,3.665,-0.026,66200,0.155
7.258,15.2,3.665,-0.026,90900,0.085
7.258,15.2,3.665,-0.026,69900,0.135
7.258,15.2,3.665,-0.026,65400,0.103
6.613,16.7,2.736,0.002,59000,0.111
6.613,16.7,2.736,0.002,62100,0.134
5.561,15.5,8.881,-0.026,62200,0.05
5.561,15.5,8.881,-0.026,85500,0.088
5.561,15.5,8.881,-0.026,63500,0.116
7.259,16.8,-0.029,0.009,73800,0.092
6.615,17,10.027,-0.024,81600,0.095
6.325,16.3,11.332,-0.017,56000,0.049
6.325,16.3,11.332,-0.017,80000,0.089
6.325,16.3,11.332,-0.017,62900,0.084
6.325,16.3,11.332,-0.017,67800,0.111
5.951,18.1,6.678,-0.02,80900,0.099
5.951,18.1,6.678,-0.02,74600,0.096
5.951,18.1,6.678,-0.02,65600,0.104
6.982,15.6,9.516,-0.032,70300,0.091
6.982,15.6,9.516,-0.032,71800,0.094
6.982,15.6,9.516,-0.032,53900,0.076
7.227,17.4,7.154,-0.019,60800,0.103
7.227,17.4,7.154,-0.019,56200,0.112
7.227,17.4,7.154,-0.019,60300,0.096
5.709,16.8,8.004,-0.017,71100,0.111
5.709,16.8,8.004,-0.017,85800,0.102
5.709,16.8,8.004,-0.017,75000,0.088
6.256,15.8,7.455,-0.026,70500,0.089
