id	absolute
13215	35.2
13217	34.4
13219	40.5
13221	35.9
13223	38.2
13225	35.4
13227	39.3
13229	41.6
13231	39.2
13233	37.4
13235	33.7
13237	34
13239	
13241	38.5
13243	35.3
13245	35.8
13247	39.8
13249	
13251	36.1
13253	37.6
13255	34.9
13257	38.7
13259	
13261	33.5
13263	33.5
13265	
13267	36.5
13269	35.9
13271	36.9
13273	34.8
13275	36.1
13277	35.9
13279	37.8
13281	
13283	39.2
13285	35.3
13287	34.6
13289	33.7
13291	41.5
13293	36.8
13295	38.3
13297	36.8
13299	37.2
13301	32.7
13303	34.3
13305	37.6
13307	
13309	
13311	45
13313	38.3
13315	40
13317	35.9
13319	32.3
13321	38.6
15001	40.1
15003	44.8
15005	
15007	43.6
15009	42.2
16001	42.6
16003	
16005	43.1
16007	53.8
16009	45.6
16011	46.3
16013	43.1
16015	
16017	45.7
16019	45.5
16021	46.2
16023	
16025	
16027	41.6
16029	53.4
16031	48.2
16033	
16035	46.7
16037	
16039	44.1
16041	54.8
16043	49.6
16045	45.5
16047	46.3
16049	48.5
16051	49.1
16053	45.2
16055	44.8
16057	46.3
16059	46.2
16061	46.9
16063	
16065	51.6
16067	49.2
16069	43.6
16071	
16073	46
16075	43.9
16077	46.9
16079	43.4
16081	50.1
16083	45.5
16085	43.3
16087	45.7
17001	45.4
17003	35.7
17005	43.3
17007	42.9
17009	
17011	47.2
17013	
17015	46.8
17017	44.4
17019	40.5
17021	45.1
17023	47.5
17025	44.5
17027	52.3
17029	40.9
17031	38
17033	43.7
17035	44
17037	45.3
17039	46.3
17041	48.8
17043	49
17045	45.7
17047	49
17049	50.3
17051	45.6
17053	47.8
17055	45.3
17057	44.1
17059	50.5
17061	48.2
17063	46.8
17065	49.4
17067	51.4
17069	
17071	50.4
17073	46.9
17075	47.4
17077	40.5
17079	53
17081	43
17083	46.4
17085	50.3
17087	44.4
17089	41.4
17091	40.9
17093	49.2
17095	41.7
17097	42.7
17099	45.2
17101	44.8
17103	45.2
17105	46.9
17107	45.1
17109	48.2
17111	46.7
17113	42.7
17115	39.5
17117	44.3
17119	41.4
17121	40.8
17123	47.4
17125	43.1
17127	41.4
17129	46.8
17131	50.8
17133	51.1
17135	44.2
17137	41.4
17139	45.8
17141	45.8
17143	37.9
17145	45.2
17147	46.6
17149	47.4
17151	
17153	38.6
17155	42.6
17157	47.7
17159	46.2
17161	42
17163	37.6
17165	42.8
17167	39.4
17169	47.9
17171	
17173	45.9
17175	50.1
17177	42.5
17179	43.9
17181	42.8
17183	40.8
17185	44.8
17187	45
17189	50.6
17191	48.7
17193	46.7
17195	43.9
17197	42.4
17199	41.1
17201	38
17203	48.3
18001	45.3
18003	38.6
18005	39
18007	50
18009	39.7
18011	42.6
18013	44.1
18015	47.7
18017	42.1
18019	39.4
18021	43.6
18023	41.8
18025	42.6
18027	46.2
18029	42.5
18031	42.8
18033	41.2
18035	36.7
18037	52.7
18039	41
18041	35.2
18043	39.7
18045	44.6
18047	39.1
18049	42.7
18051	47.9
18053	37.3
18055	43.7
18057	43.2
18059	42.5
18061	44.6
18063	45.3
18065	39.8
18067	37.3
18069	41.6
18071	42.4
18073	48.7
18075	43.9
18077	41.3
18079	40.4
18081	41.6
18083	45.2
18085	43.7
18087	49
18089	39.4
18091	39.8
18093	39.7
18095	37.2
18097	35
18099	43.3
18101	44.3
18103	40.7
18105	38.3
18107	43.8
18109	41.2
18111	45.7
18113	42.8
18115	
18117	41.4
18119	39.1
18121	44.1
18123	45.6
18125	48.7
18127	44.8
18129	44.6
18131	45.4
18133	42.1
18135	42.5
18137	48.2
18139	42.4
18141	38.4
18143	36.3
18145	41.7
18147	49.5
18149	41.2
18151	41.5
18153	44.5
18155	42.5
18157	42.4
18159	44.1
18161	44
18163	39.2
18165	42.7
18167	40.4
18169	41.2
18171	
18173	44.6
18175	41.4
18177	37.4
18179	45.6
18181	45.7
18183	44.9
19001	54.3
19003	
19005	55.3
19007	48.3
19009	55.6
19011	50.4
19013	44.1
19015	47
19017	55
19019	52.8
19021	52.3
19023	56
19025	54.4
19027	59.8
19029	52.4
19031	51.8
19033	48.7
19035	55.1
19037	57
19039	49.2
19041	49.7
19043	55.3
19045	46.9
19047	55
19049	48.5
19051	51.1
19053	46.4
19055	56.3
19057	41.6
19059	51.3
19061	52.7
19063	54
19065	53.9
19067	53.4
19069	49.3
19071	50.5
19073	48.5
19075	54.8
19077	51
19079	49.4
19081	55.1
19083	53.3
19085	50.5
19087	51.9
19089	58.4
19091	55.2
19093	55.8
19095	54.7
19097	51.1
19099	48.9
19101	49.3
19103	45.9
19105	51.6
19107	54.4
19109	58.5
19111	44.7
19113	45.4
19115	48.3
19117	51.8
19119	60
19121	48.9
19123	50.3
19125	50.5
19127	45.8
19129	48.8
19131	56.7
19133	49.2
19135	51.9
19137	48.9
19139	45.7
19141	54.9
19143	56.4
19145	50.5
19147	54.8
19149	57.3
19151	58.3
19153	42.6
19155	44
19157	50.8
19159	
19161	57.2
19163	42.6
19165	52.9
19167	59.4
19169	51.1
19171	51.1
19173	51.9
19175	48.9
19177	50.4
19179	44.1
19181	50.1
19183	47
19185	51.2
19187	44.4
19189	49.8
19191	58
19193	44.5
19195	47.4
19197	49.8
20001	44.7
20003	47.3
20005	46.1
20007	56.9
20009	50.9
20011	44.9
20013	50.7
20015	45.2
20017	
20019	
20021	43.6
20023	
20025	
20027	50.3
20029	51.2
20031	47.9
20033	
20035	44
20037	44.7
20039	
20041	46.1
20043	49.6
20045	40.6
20047	
20049	
20051	53.1
20053	54.8
20055	45.3
20057	45.3
20059	43
20061	37.2
20063	
20065	
20067	47.7
20069	54.4
20071	
20073	48.8
20075	
20077	50
20079	46.3
20081	
20083	
20085	48.6
20087	49.6
20089	
20091	46.5
20093	
20095	52.3
20097	
20099	44.8
20101	
20103	41.1
20105	
20107	44.5
20109	
20111	45.5
20113	49.1
20115	49.8
20117	58.6
20119	
20121	47.9
20123	56.9
20125	42.8
20127	46.7
20129	
20131	63.8
20133	45.1
20135	
20137	51.3
20139	45.5
20141	
20143	49.4
20145	47.8
20147	54.2
20149	50.9
20151	49.4
20153	
20155	44.5
20157	49.6
20159	45.6
20161	43.8
20163	49.8
20165	
20167	51.5
20169	42.6
20171	52.7
20173	40.1
20175	45.9
20177	40.3
20179	
20181	49.2
20183	
20185	
20187	
20189	52.4
20191	45.3
20193	56.8
20195	
20197	48.2
20199	
20201	56
20203	
20205	45.3
20207	
20209	36
21001	41.5
21003	39.4
21005	41.5
21007	
21009	43.2
21011	39
21013	38.3
21015	41.9
21017	38.7
21019	39.2
21021	39.2
21023	38.3
21025	36.5
21027	44.9
21029	42.3
21031	43.3
21033	42.9
21035	41.9
21037	39.1
21039	
21041	39
21043	41.4
21045	40.1
21047	37.9
21049	35.5
21051	37.1
21053	41
21055	47.6
21057	
21059	42.4
21061	42.4
21063	
21065	38.9
21067	35.6
21069	41.4
21071	42
21073	37.6
21075	34.5
21077	
21079	38.7
21081	41.5
21083	42.3
21085	43.3
21087	47.6
21089	40.8
21091	46
21093	41.4
21095	43
21097	39
21099	39.6
21101	39.6
21103	41.9
21105	
21107	43.8
21109	41
21111	36
21113	35.5
21115	44.3
21117	36.9
21119	39.9
21121	38.2
21123	43.3
21125	40.1
21127	41.8
21129	
21131	43.2
21133	44.8
21135	41
21137	39.9
21139	41.5
21141	43
21143	
21145	38.4
21147	38.5
21149	45.7
21151	38.1
21153	40.8
21155	45.9
21157	46
21159	44.6
21161	38.8
21163	42.7
21165	
21167	40.3
21169	41.5
21171	44.3
21173	37.4
21175	41.1
21177	44
21179	43
21181	39
21183	43.8
21185	44.1
21187	41.2
21189	
21191	39.6
21193	41.4
21195	43.3
21197	39.6
21199	38.7
21201	
21203	38.4
21205	40
21207	40.7
21209	37.9
21211	40.2
21213	40.8
21215	42.8
21217	41.6
21219	42.2
21221	38.8
21223	42.6
21225	46
21227	39.3
21229	44.4
21231	38.9
21233	45.4
21235	39.8
21237	39.1
21239	38
22001	43.9
22003	44.6
22005	42.1
22007	42.8
22009	42
22011	44.9
22013	38.5
22015	40.4
22017	36.3
22019	41.3
22021	42.1
22023	46.2
22025	46.9
22027	40.2
22029	39.8
22031	39.6
22033	38.1
22035	35.4
22037	38.1
22039	45.5
22041	41.9
22043	42.4
22045	41.4
22047	38.7
22049	41.8
22051	40.2
22053	44.1
22055	42.1
22057	44.5
22059	50.9
22061	39.2
22063	42.8
22065	34.8
22067	36
22069	40
22071	34.8
22073	36.7
22075	43.7
22077	40.6
22079	39.1
22081	40.9
22083	39.1
22085	46.6
22087	42.8
22089	41.3
22091	37.7
22093	39.9
22095	38.4
22097	43.3
22099	41.6
22101	41.5
22103	41.2
22105	39.2
22107	40.2
22109	45.3
22111	41.5
22113	48
22115	43
22117	37.7
22119	40.3
22121	38.9
22123	44.2
22125	41.8
22127	41.5
23001	42.9
23003	43.6
23005	42.9
23007	46.1
23009	42.2
23011	42.9
23013	40.8
23015	42.1
23017	42.1
23019	42.3
23021	43.9
23023	41.5
23025	42.2
23027	39.4
23029	38.9
23031	44.7
24001	43.2
24003	40.8
24005	42.2
24009	43.5
24011	39.4
24013	47.5
24015	41.2
24017	42.9
24019	37.3
24021	45.6
24023	45.7
24025	43.5
24027	46.9
24029	40
