commuting zone id,racial segregation,school exp per student,ts ratio,test score percentile,hs dropout rate,teenage labor force,violent crime,single mothers,divorced
13000,0.156,5.676,18.0,-1.755,-0.006,0.003,0.001,0.191,0.107
13101,0.311,5.998,17.9,-6.336,0.020,0.005,0.003,0.250,0.120
13102,0.032,6.341,17.3,-0.717,0.008,0.005,0.001,0.205,0.123
13103,0.092,6.317,18.2,-1.755,-0.002,0.004,0.001,0.202,0.101
13200,0.117,6.026,16.7,9.696,-0.015,0.004,0.001,0.192,0.107
13300,0.089,5.355,19.2,11.407,,0.005,0.001,0.185,0.099
13400,0.252,5.109,19.7,13.717,,0.005,0.001,0.174,0.090
13501,0.290,6.145,18.8,2.054,,0.005,0.001,0.236,0.105
13502,0.081,5.048,19.6,13.318,,0.005,0.000,0.175,0.100
13600,0.264,6.498,18.3,-2.923,,0.005,0.001,0.231,0.106
13700,0.176,6.437,18.8,-4.199,,0.005,0.001,0.180,0.105
13800,0.056,6.961,18.4,1.626,,0.005,0.000,0.151,0.100
13900,0.150,6.665,17.8,0.629,,0.005,0.001,0.201,0.118
14000,0.216,6.655,17.2,-3.912,,0.004,0.001,0.229,0.115
14100,0.290,6.491,19.1,-0.560,,0.004,0.003,0.200,0.105
14200,0.333,6.991,18.8,0.549,,0.005,0.004,0.226,0.115
14300,0.077,6.341,19.3,0.477,,0.005,0.002,0.175,0.116
14400,0.155,6.450,17.3,-0.317,,0.005,0.002,0.197,0.113
14500,0.209,6.300,18.1,0.095,0.021,0.005,0.001,0.191,0.097
14600,0.105,6.010,18.9,1.814,,0.005,0.001,0.180,0.102
14700,0.210,6.535,18.1,0.957,0.014,0.005,0.003,0.188,0.110
14801,0.016,4.303,15.7,9.889,0.007,0.005,,0.176,0.106
14802,0.061,5.712,16.7,4.262,0.035,0.006,0.001,0.204,0.107
14900,0.444,7.061,20.3,-3.780,,0.004,0.002,0.244,0.100
15000,0.198,5.563,19.3,12.753,,0.005,0.001,0.187,0.101
15100,0.207,5.833,19.0,7.879,,0.005,0.001,0.222,0.106
15200,0.446,6.958,18.4,5.208,,0.005,0.001,0.254,0.107
15300,0.044,5.851,16.9,-0.284,-0.003,0.003,0.001,0.190,0.108
15400,0.115,4.950,19.2,7.247,,0.004,0.000,0.202,0.107
15500,0.184,5.935,17.5,8.384,-0.009,0.003,0.001,0.211,0.098
15600,0.151,6.139,16.5,1.849,-0.006,0.003,0.001,0.203,0.099
15700,0.160,4.927,20.4,3.963,,0.004,0.001,0.215,0.119
15800,0.058,5.361,17.3,0.706,-0.008,0.003,0.001,0.201,0.095
15900,0.269,6.531,19.0,3.690,,0.005,0.003,0.228,0.110
16000,0.231,5.248,18.9,4.968,,0.005,0.001,0.206,0.113
16100,0.195,6.981,17.8,6.352,-0.013,0.004,0.001,0.153,0.071
16200,0.163,7.147,18.1,7.231,-0.015,0.003,0.001,0.177,0.078
16300,0.323,8.199,18.1,5.035,-0.010,0.004,0.002,0.209,0.082
16400,0.338,6.079,19.2,6.568,-0.016,0.004,0.001,0.231,0.101
16500,0.210,7.642,17.7,5.037,-0.008,0.004,0.001,0.213,0.090
16600,0.225,6.208,16.6,3.084,-0.002,0.005,0.001,0.211,0.096
16701,0.050,5.979,14.7,-6.483,-0.017,0.004,0.001,0.168,0.112
16702,0.108,6.507,16.0,-6.397,-0.008,0.003,0.001,0.189,0.092
16703,0.042,6.238,16.1,-10.275,-0.011,0.003,0.001,0.181,0.101
16801,0.121,6.099,16.0,-6.880,-0.002,0.003,0.001,0.217,0.104
16802,0.043,6.065,14.8,-6.952,-0.008,0.003,0.002,0.175,0.101
16901,0.177,6.254,15.7,-9.146,0.006,0.003,0.002,0.210,0.113
16902,0.011,6.717,14.8,-10.746,0.001,0.003,0.001,0.163,0.100
17000,0.103,6.460,15.4,-2.262,0.001,0.002,0.001,0.186,0.103
17100,0.144,6.436,16.5,-2.126,0.001,0.003,0.001,0.208,0.107
17200,0.107,5.499,15.9,5.775,-0.006,0.005,0.001,0.163,0.080
17300,0.079,6.003,,3.633,,0.005,0.001,0.197,0.098
17400,0.164,6.288,17.4,1.236,0.007,0.005,0.002,0.186,0.097
17501,0.149,6.553,16.0,-2.043,-0.006,0.004,0.002,0.187,0.085
17502,0.100,6.326,16.6,0.058,-0.003,0.005,0.001,0.172,0.098
17600,0.096,6.177,,-0.367,,0.005,0.001,0.203,0.089
17700,0.253,8.590,15.8,1.814,-0.016,0.005,0.002,0.236,0.087
17800,0.053,9.284,14.0,3.690,-0.021,0.004,0.002,0.199,0.090
17900,0.120,8.034,15.9,7.263,-0.015,0.004,0.001,0.209,0.094
18000,0.342,9.080,15.7,3.245,-0.016,0.005,0.002,0.251,0.088
18100,0.158,8.670,16.0,0.774,-0.002,0.004,0.001,0.222,0.092
18201,0.143,8.316,16.0,3.707,-0.011,0.004,0.002,0.197,0.091
18202,0.025,8.325,17.5,7.407,-0.017,0.004,0.001,0.159,0.085
18300,0.147,9.160,15.9,5.444,-0.012,0.004,0.001,0.195,0.081
18400,0.285,9.433,14.6,2.784,-0.008,0.005,0.002,0.208,0.085
18500,0.130,9.628,14.3,2.667,-0.007,0.004,0.001,0.231,0.092
18600,0.201,8.921,15.8,4.010,-0.011,0.006,0.002,0.224,0.087
18700,0.169,6.516,18.1,5.346,-0.007,0.005,0.002,0.171,0.079
18800,0.131,7.373,18.6,5.554,-0.011,0.005,0.001,0.185,0.080
18900,0.162,6.937,17.4,4.766,-0.007,0.004,0.001,0.197,0.093
19000,0.214,7.449,19.3,0.125,-0.007,0.005,0.001,0.186,0.084
19100,0.262,7.694,19.1,2.944,-0.001,0.005,0.002,0.170,0.079
19200,0.278,7.256,17.9,0.608,-0.002,0.005,0.001,0.186,0.088
19300,0.142,9.084,16.2,2.093,-0.012,0.005,0.002,0.183,0.079
19400,0.382,9.949,18.7,-1.449,0.013,0.004,0.004,0.278,0.073
19500,0.198,,,5.938,-0.012,0.006,0.001,0.146,0.075
19600,0.323,,15.4,-0.599,-0.005,0.005,0.002,0.190,0.072
19700,0.376,7.967,18.7,-3.101,0.007,0.005,0.003,0.239,0.080
19800,0.216,7.584,17.7,-3.338,0.006,0.005,0.004,0.230,0.097
19901,0.131,6.835,16.7,5.869,0.001,0.006,0.005,0.255,0.097
19902,0.111,6.562,17.7,0.006,-0.001,0.007,0.002,0.227,0.091
19903,0.084,5.638,,5.172,0.023,0.005,0.002,0.293,0.085
20001,0.065,6.669,15.7,3.767,-0.007,0.005,0.001,0.207,0.118
20002,0.196,7.988,13.7,4.963,-0.009,0.007,0.001,0.213,0.114
20003,0.057,6.823,15.7,3.045,-0.027,0.006,0.001,0.176,0.091
20100,0.052,6.850,15.9,2.793,-0.009,0.006,0.001,0.211,0.118
20200,0.044,9.101,14.8,6.641,,0.006,0.001,0.182,0.100
20301,0.018,7.825,13.8,3.676,,0.006,0.000,0.208,0.112
20302,0.041,8.352,14.6,6.585,,0.007,0.000,0.193,0.110
20401,0.230,7.203,14.8,-2.206,0.008,0.006,0.002,0.248,0.092
20402,0.035,8.164,,,,,0.002,0.179,0.121
20403,0.016,,,17.311,-0.001,0.008,0.001,0.211,0.126
20500,0.264,7.890,,4.084,0.001,0.006,0.003,0.206,0.080
20600,0.080,6.546,16.8,3.630,0.017,0.006,0.001,0.173,0.105
20700,0.024,8.513,14.3,1.881,0.015,0.006,0.001,0.199,0.107
20800,0.295,7.855,,-0.369,0.007,0.005,0.003,0.286,0.095
20901,0.269,8.888,14.9,-4.993,,0.005,0.002,0.217,0.093
20902,0.067,8.124,15.6,4.525,0.015,0.006,0.002,0.238,0.104
21001,0.236,7.119,16.3,7.588,,0.006,0.000,0.178,0.097
21002,0.124,6.434,18.0,7.375,,0.006,0.001,0.192,0.084
21003,0.159,6.902,15.4,8.369,,0.006,0.000,0.203,0.094
21004,0.198,7.827,16.1,2.187,,0.007,0.000,0.184,0.103
21101,0.185,7.359,15.7,6.642,-0.027,0.006,0.000,0.178,0.097
21102,0.066,8.830,16.3,7.446,,0.007,0.000,0.163,0.101
21201,0.069,5.951,18.1,6.678,-0.020,0.007,0.001,0.133,0.068
21202,0.098,6.256,15.8,7.455,-0.026,0.008,0.002,0.138,0.068
21301,0.113,6.464,17.3,6.834,-0.014,0.007,0.001,0.161,0.067
21302,0.085,7.047,17.5,6.546,0.002,0.007,0.001,0.151,0.080
21400,0.094,6.503,18.1,6.546,-0.013,0.006,0.001,0.143,0.071
21501,0.193,8.069,18.7,0.449,0.012,0.006,0.002,0.187,0.093
21502,0.099,6.613,16.7,2.736,0.002,0.006,0.001,0.185,0.103
21600,0.226,6.687,16.9,9.205,0.018,0.007,0.001,0.184,0.097
21701,0.112,6.660,18.3,7.357,-0.009,0.007,0.001,0.146,0.079
21702,0.088,6.479,18.0,3.989,0.012,0.007,0.002,0.181,0.086
21801,0.032,5.795,14.2,5.240,-0.026,0.007,0.002,0.181,0.091
21802,0.047,5.926,14.8,10.219,-0.025,0.007,0.000,0.140,0.065
21900,0.174,6.155,15.4,-1.602,-0.015,0.007,0.002,0.176,0.098
22001,0.264,6.214,17.2,1.667,-0.011,0.007,0.001,0.197,0.080
22002,0.083,5.982,14.5,3.677,-0.028,0.007,0.001,0.146,0.071
22100,0.135,5.944,16.5,2.004,0.000,0.006,0.002,0.159,0.084
22200,0.082,5.973,16.8,3.361,-0.021,0.006,0.002,0.177,0.097
22300,0.055,6.090,15.6,3.070,-0.010,0.006,0.001,0.167,0.098
22400,0.119,6.612,17.1,6.404,-0.015,0.006,0.000,0.150,0.081
22500,0.092,6.880,17.1,4.955,-0.026,0.007,0.000,0.149,0.085
22601,0.153,6.849,16.4,3.521,,0.007,0.000,0.171,0.090
22602,0.382,7.075,15.4,2.282,-0.019,0.006,0.000,0.184,0.088
22700,0.098,7.103,16.5,4.856,-0.028,0.006,0.000,0.145,0.081
22800,0.086,7.462,16.3,5.725,-0.022,0.006,0.000,0.165,0.084
22900,0.079,7.258,15.2,3.665,-0.026,0.006,0.000,0.171,0.087
23000,0.063,8.237,14.8,8.850,,0.007,0.000,0.150,0.078
23100,0.140,7.953,15.2,3.277,,0.007,0.000,0.175,0.091
23200,0.091,5.516,15.8,3.928,-0.013,0.007,0.001,0.148,0.079
23301,0.071,4.034,17.3,9.104,0.016,0.005,,0.187,0.098
23302,0.223,4.165,18.5,7.493,-0.015,0.006,,0.163,0.098
23400,0.098,4.954,17.7,7.534,0.002,0.006,,0.183,0.092
23500,0.230,4.526,17.8,2.445,0.011,0.006,,0.218,0.093
23600,0.092,5.634,15.4,1.478,-0.008,0.006,0.003,0.197,0.108
23700,0.176,4.541,18.1,5.430,0.031,0.005,,0.211,0.108
23801,0.164,5.271,17.1,0.599,-0.001,0.006,0.005,0.226,0.108
23802,0.075,6.098,15.4,5.201,-0.006,0.006,0.002,0.188,0.096
23900,0.270,4.831,16.7,4.328,0.011,0.006,0.002,0.203,0.097
24000,0.177,6.816,16.5,-4.058,-0.012,0.006,0.000,0.212,0.100
24100,0.436,7.740,17.0,-4.162,0.001,0.006,0.000,0.245,0.092
24200,0.337,4.785,18.7,3.270,0.002,0.005,,0.221,0.093
24300,0.431,6.148,18.5,-7.514,0.035,0.004,0.002,0.208,0.083
24400,0.205,5.363,18.1,-1.328,0.008,0.005,0.002,0.200,0.100
24500,0.155,5.264,15.6,2.588,-0.008,0.004,0.001,0.177,0.089
24600,0.104,4.863,16.4,0.327,-0.004,0.005,0.001,0.190,0.105
24701,0.410,6.356,17.2,-5.332,0.004,0.005,0.003,0.247,0.103
24702,0.103,5.536,15.3,-3.478,0.010,0.005,0.001,0.197,0.109
24801,0.219,4.401,18.1,2.465,0.007,0.006,,0.183,0.105
24802,0.230,5.010,19.0,0.902,-0.015,0.006,0.002,0.228,0.118
24900,0.210,4.466,19.7,2.163,0.009,0.005,,0.204,0.104
25000,0.100,5.080,18.2,2.451,-0.001,0.006,0.001,0.194,0.102
25101,0.007,4.895,17.2,5.828,-0.007,0.004,0.001,0.190,0.104
25102,0.016,4.706,15.2,2.757,-0.014,0.003,0.001,0.184,0.101
25103,0.120,4.871,17.2,5.503,0.002,0.004,0.002,0.177,0.114
25104,0.014,4.875,17.1,6.815,0.021,0.004,0.001,0.167,0.104
25105,0.054,4.942,15.9,5.831,0.001,0.004,0.001,0.166,0.110
25200,0.104,5.944,17.2,-2.106,0.001,0.004,0.001,0.208,0.109
25300,0.124,5.136,14.9,3.748,-0.009,0.004,0.001,0.209,0.100
25401,0.220,5.039,17.6,1.106,-0.006,0.004,0.001,0.210,0.114
