county id,commuting zone id,teenage br,mean parent income
8067,35300,0.102,79300
8069,28800,0.098,99800
8071,28503,0.219,45500
8073,28402,,
8075,28301,0.189,69400
8077,35201,0.162,76000
8079,34805,,
8081,36401,0.151,72000
8083,35402,0.149,59400
8085,35201,0.166,62700
8087,28800,0.209,57000
8089,28502,0.232,52700
8091,35201,,
8093,28900,0.096,74600
8095,28301,,
8097,28702,0.025,478400
8099,28502,0.251,51100
8101,28502,0.22,67100
8103,36401,0.129,81600
8105,34805,0.237,59200
8107,36401,0.066,101800
8109,34805,0.26,42800
8111,35300,,
8113,35201,,
8115,28302,,
8117,28702,0.045,122000
8119,28401,0.136,85800
8121,28301,,
8123,28800,0.195,75900
8125,28301,0.116,58800
9001,20901,0.08,230700
9003,20901,0.109,115000
9005,20901,0.059,106400
9007,20901,0.065,109700
9009,20901,0.103,97100
9011,20901,0.106,96100
9013,20901,0.058,107800
9015,20901,0.113,77200
10001,19901,0.177,67100
10003,19800,0.145,104100
10005,19901,0.196,63100
11001,11304,0.208,92700
12001,7900,0.147,70000
12003,7600,0.291,53000
12005,10000,0.177,57400
12007,7900,0.263,46100
12009,7300,0.137,67400
12011,7000,0.126,86000
12013,9900,0.225,44800
12015,6900,0.147,67000
12017,7800,0.157,51200
12019,7600,0.139,69800
12021,7200,0.167,91000
12023,7700,0.228,51300
12027,6900,0.273,45100
12029,7900,0.273,35200
12031,7600,0.197,68900
12033,10900,0.196,58700
12035,7500,0.155,54500
12037,10000,0.261,40500
12039,9900,0.269,36900
12041,7900,0.226,41600
12043,7100,,
12045,10000,0.221,45800
12047,7700,0.267,40000
12049,6800,0.287,47200
12051,7100,0.251,50900
12053,6700,0.144,52500
12055,6800,0.217,52800
12057,6700,0.174,73300
12059,9900,0.2,40000
12061,7300,0.151,89700
12063,9900,0.208,46700
12065,9900,0.205,44200
12067,7700,,
12069,7400,0.189,60800
12071,7200,0.172,76400
12073,9900,0.132,78000
12075,7900,0.212,39100
12077,9900,,
12079,7700,0.222,40800
12081,6900,0.183,74200
12083,7800,0.206,53300
12085,7100,0.122,111400
12086,7000,0.144,72200
12087,7000,0.121,78400
12089,7600,0.178,66000
12091,10900,0.15,68800
12093,7100,0.268,50900
12095,7400,0.171,67200
12097,7400,0.164,51200
12099,7100,0.132,101400
12101,6700,0.16,52700
12103,6700,0.149,74200
12105,6800,0.225,57500
12107,7500,0.245,45100
12109,7600,0.137,92000
12111,7100,0.187,57300
12113,10900,0.153,66000
12115,6900,0.119,94100
12117,7400,0.113,87200
12119,7400,0.237,42600
12121,7700,0.21,43800
12123,7700,0.233,54000
12125,7900,0.203,44000
12127,7500,0.152,57900
12129,9900,0.185,47600
12131,10900,0.212,44100
12133,9900,0.218,41100
13001,9001,0.265,51200
13003,8601,0.311,38500
13005,8601,0.271,50900
13007,10200,,
13009,9002,0.172,57900
13011,9400,0.254,56000
13013,9301,0.192,62500
13015,6600,0.222,66000
13017,8501,0.268,53200
13019,8503,0.195,49400
13021,8900,0.213,72400
13023,8900,0.205,51900
13025,8602,0.283,47500
13027,8503,0.299,38800
13029,8800,0.193,76700
13031,8702,0.179,58000
13033,8401,0.269,47400
13035,9200,0.244,53900
13037,10301,0.274,37900
13039,7600,0.179,64300
13043,8702,0.27,48100
13045,9600,0.214,65800
13047,6401,0.191,71100
13049,7600,0.226,56100
13051,8800,0.221,70500
13053,9701,,
13055,6600,0.259,47800
13057,9100,0.13,96500
13059,9301,0.174,78900
13061,10301,,
13063,9100,0.189,65000
13065,8601,0.281,47100
13067,9100,0.101,123500
13069,8601,0.262,54000
13071,8503,0.262,51900
13073,8401,0.129,88700
13075,8503,0.218,44800
13077,9600,0.169,75500
13079,8900,,
13081,8502,0.254,45100
13083,6401,0.191,54900
13085,9100,0.181,81000
13087,10101,0.248,46500
13089,9100,0.17,81700
13091,9001,0.205,49500
13093,8502,0.264,43000
13095,10200,0.234,60100
13097,9100,0.148,75500
13099,10301,0.257,48900
13101,8503,,
13103,8800,0.193,67300
13105,9302,0.217,46500
13107,8702,0.245,39900
13109,8701,0.246,42900
13111,6501,0.208,48700
13113,9100,0.058,135700
